flight_status,flight,datetime_estimated,airport_of_departure,comments,airport_of_arrival,terminal,airline,datetime_actual,datetime_scheduled
[],[u'\u042e\u0420382'],[u' - '],[u'\u0423\u0421\u0418\u041d\u0421\u041a'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420-\u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u' - '],[u'\xa013.03']
[],[u'UT768'],[u' - '],[u'\u041b\u0415\u041d\u041a\u041e\u0420\u0410\u041d\u042c'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0420384'],[u' - '],[u'\u0423\u0425\u0422\u0410'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420-\u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422162'],[u' - '],[u'\u041d\u0418\u0416\u041d\u0418\u0419 \u041d\u041e\u0412\u0413\u041e\u0420\u041e\u0414'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'4G602'],[u' - '],[u'\u041d\u0423\u041a\u0423\u0421'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'\u0413\u0410\u0417\u041f\u0420\u041e\u041c\u0410\u0412\u0418\u0410'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422360'],[u' - '],[u'\u041d\u0418\u0416\u041d\u0415\u0412\u0410\u0420\u0422\u041e\u0412\u0421\u041a'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'\u042d\u04254174'],[u' - '],[u'\u041c\u0418\u041d.\u0412\u041e\u0414\u042b'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0421\u041a\u0410\u0419 \u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u041a174'],[u' - '],[u'\u041c\u0418\u041d.\u0412\u041e\u0414\u042b'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0410\u0412\u0418\u0410\u0426\u0418\u041e\u041d\u041d\u042b\u0415 \u041b\u0418\u041d\u0418\u0418 \u041a\u0423\u0411\u0410\u041d\u0418'],[u' - '],[u'\xa013.03']
[],[u'SU674'],[u' - '],[u'\u0420\u041e\u0421\u0422\u041e\u0412-\u041d\u0410-\u0414\u041e\u041d\u0423'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0410'],[u'\u0410\u042d\u0420\u041e\u0424\u041b\u041e\u0422'],[u' - '],[u'\xa013.03']
[],[u'\u04149618'],[u' - '],[u'\u0420\u041e\u0421\u0422\u041e\u0412-\u041d\u0410-\u0414\u041e\u041d\u0423'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0410'],[u'\u0414\u041e\u041d\u0410\u0412\u0418\u0410'],[u' - '],[u'\xa013.03']
[],[u'\u042f\u041a725'],[u' - '],[u'\u041a\u0420\u0410\u0421\u041d\u041e\u0414\u0410\u0420\n(\u041f\u0410\u0428\u041a\u041e\u0412\u0421\u041a\u0410\u042f)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0410'],[u'\u042f\u041a\u0423\u0422\u0418\u042f'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422584'],[u' - '],[u'\u041d\u041e\u0412\u041e\u0421\u0418\u0411\u0418\u0420\u0421\u041a\n(\u0422\u041e\u041b\u041c\u0410\u0427\u0415\u0412\u041e)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422358'],[u' - '],[u'\u0421\u0410\u041c\u0410\u0420\u0410\n(\u041a\u0423\u0420\u0423\u041c\u041e\u0427)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0420376'],[u' - '],[u'\u0421\u042b\u041a\u0422\u042b\u0412\u041a\u0410\u0420'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420-\u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u' - '],[u'\xa013.03']
[],[u'N2355'],[u' - '],[u'\u041c\u0410\u0425\u0410\u0427\u041a\u0410\u041b\u0410'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0410\u0412\u0418\u0410\u041b\u0418\u041d\u0418\u0418 \u0414\u0410\u0413\u0415\u0421\u0422\u0410\u041d\u0410'],[u' - '],[u'\xa013.03']
[],[u'\u0413\u0417\u041f924'],[u' - '],[u'\u0421-\u041f\u0415\u0422\u0415\u0420\u0411\u0423\u0420\u0413\n(\u041f\u0423\u041b\u041a\u041e\u0412\u041e)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0410'],[u'\u0413\u0410\u0417\u041f\u0420\u041e\u041c\u0410\u0412\u0418\u0410'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u0422582'],[u' - '],[u'\u041a\u0420\u0410\u0421\u041d\u041e\u042f\u0420\u0421\u041a\n(\u0415\u041c\u0415\u041b\u042c\u042f\u041d\u041e\u0412\u041e)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u042e\u0422\u042d\u0419\u0420'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u041a183'],[u' - '],[u'\u041a\u0420\u0410\u0421\u041d\u041e\u0414\u0410\u0420\n(\u041f\u0410\u0428\u041a\u041e\u0412\u0421\u041a\u0410\u042f)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0410\u0412\u0418\u0410\u0426\u0418\u041e\u041d\u041d\u042b\u0415 \u041b\u0418\u041d\u0418\u0418 \u041a\u0423\u0411\u0410\u041d\u0418'],[u' - '],[u'\xa013.03']
[],[u'\u042d\u04254254'],[u' - '],[u'\u041a\u0420\u0410\u0421\u041d\u041e\u0414\u0410\u0420\n(\u041f\u0410\u0428\u041a\u041e\u0412\u0421\u041a\u0410\u042f)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0421\u041a\u0410\u0419 \u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u' - '],[u'\xa013.03']
[],[u'\u042d\u0425206'],[u' - '],[u'\u0420\u041e\u0421\u0422\u041e\u0412-\u041d\u0410-\u0414\u041e\u041d\u0423'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0421\u041a\u0410\u0419 \u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u041a206'],[u' - '],[u'\u0420\u041e\u0421\u0422\u041e\u0412-\u041d\u0410-\u0414\u041e\u041d\u0423'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0410\u0412\u0418\u0410\u0426\u0418\u041e\u041d\u041d\u042b\u0415 \u041b\u0418\u041d\u0418\u0418 \u041a\u0423\u0411\u0410\u041d\u0418'],[u' - '],[u'\xa013.03']
[],[u'\u042d\u0425304'],[u' - '],[u'\u0415\u041a\u0410\u0422\u0415\u0420\u0418\u041d\u0411\u0423\u0420\u0413\n(\u041a\u041e\u041b\u042c\u0426\u041e\u0412\u041e)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0421\u041a\u0410\u0419 \u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u' - '],[u'\xa013.03']
[],[u'AB1990'],[u' - '],[u'\u0411\u0420\u0410\u0423\u041d\u0428\u0412\u0415\u0419\u0413'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0412'],[u'\u042d\u0419\u0420 \u0411\u0415\u0420\u041b\u0418\u041d'],[u' - '],[u'\xa013.03']
[],[u'\u042e\u041a9106'],[u' - '],[u'\u0421-\u041f\u0415\u0422\u0415\u0420\u0411\u0423\u0420\u0413\n(\u041f\u0423\u041b\u041a\u041e\u0412\u041e)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0410\u0412\u0418\u0410\u0426\u0418\u041e\u041d\u041d\u042b\u0415 \u041b\u0418\u041d\u0418\u0418 \u041a\u0423\u0411\u0410\u041d\u0418'],[u' - '],[u'\xa013.03']
[],[u'\u042d\u0425106'],[u' - '],[u'\u0421-\u041f\u0415\u0422\u0415\u0420\u0411\u0423\u0420\u0413\n(\u041f\u0423\u041b\u041a\u041e\u0412\u041e)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0421\u041a\u0410\u0419 \u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u' - '],[u'\xa013.03']
[],[u'\u042d\u0425148'],[u' - '],[u'\u041a\u0410\u041b\u0418\u041d\u0418\u041d\u0413\u0420\u0410\u0414'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0421\u041a\u0410\u0419 \u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u' - '],[u'\xa013.03']
[],[u'\u0413\u0417\u041f982'],[u' - '],[u'\u0423\u041b\u042c\u042f\u041d\u041e\u0412\u0421\u041a\n(\u0411\u0410\u0420\u0410\u0422\u0410\u0415\u0412\u041a\u0410)\n'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u'\u0410'],[u'\u0413\u0410\u0417\u041f\u0420\u041e\u041c\u0410\u0412\u0418\u0410'],[u' - '],[u'\xa013.03']
[],[u'\u042d\u0425226'],[u' - '],[u'\u0421\u041e\u0427\u0418'],[u'\n\xa0\n\n'],[u'\u0412\u041d\u0423\u041a\u041e\u0412\u041e'],[u' \u0414 '],[u'\u0421\u041a\u0410\u0419 \u042d\u041a\u0421\u041f\u0420\u0415\u0421\u0421'],[u' - '],[u'\xa013.03']
